date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2021-05-09,35.0105,34.5896,15.4661,0.4208,15.8869
2021-05-10,55.8876,56.8227,21.0916,-0.9351,20.1565
2021-05-11,576.7281,571.0409,11.4022,5.6872,17.0894
2021-05-12,-839.2098,-830.7650,11.1843,-8.4447,2.7396
2021-05-13,-275.4230,-286.0807,6.5670,10.6577,17.2247
2021-05-14,960.4859,969.3369,3.0000,-8.8510,-5.8510
2021-05-15,-1051.1140,-1056.3996,13.6942,5.2857,18.9799
2021-05-16,-177.0926,-185.2298,6.2665,8.1373,14.4038
2021-05-17,-836.3530,-831.5486,11.9118,-4.8043,7.1075
2021-05-18,281.9793,282.5270,8.9919,-0.5477,8.4442
2021-05-19,-2773.7202,-2764.4350,-29.3021,-9.2853,-38.5874
2021-05-20,1351.8279,1332.1435,3.1828,19.6843,22.8671
2021-05-21,-1219.5245,-1218.7818,3.0000,-0.7427,2.2573
2021-05-22,-559.8977,-558.8624,3.0000,-1.0353,1.9647
2021-05-23,-864.8856,-864.9544,3.0000,0.0688,3.0688
2021-05-24,2633.2887,2635.8490,3.0000,-2.5603,0.4397
2021-05-25,214.0136,217.2674,3.0000,-3.2538,-0.2538
2021-05-26,664.7789,655.5269,3.0000,9.2519,12.2519
2021-05-27,-494.6723,-490.5921,3.0000,-4.0803,-1.0803
2021-05-28,-1203.8742,-1207.2102,3.0000,3.3360,6.3360
2021-05-29,-552.8792,-554.2655,3.0000,1.3863,4.3863
2021-05-30,470.6110,474.6289,3.0000,-4.0180,-1.0180
2021-05-31,1341.8805,1342.0169,3.0000,-0.1364,2.8636
2021-06-01,-264.5086,-264.9344,3.0000,0.4258,3.4258
2021-06-02,271.9609,275.5226,3.0000,-3.5617,-0.5617
2021-06-03,558.0847,558.2110,3.0000,-0.1263,2.8737
2021-06-04,-587.0680,-591.7071,3.0000,4.6391,7.6391
2021-06-05,-229.7073,-229.6585,3.0000,-0.0487,2.9513
2021-06-06,320.3906,319.5113,3.0000,0.8793,3.8793
2021-06-07,-442.0116,-436.8223,3.0000,-5.1893,-2.1893
2021-06-08,-327.2313,-334.6369,3.0000,7.4055,10.4055
2021-06-09,410.6125,415.0124,3.0000,-4.3999,-1.3999
2021-06-10,-532.8751,-532.8710,3.0000,-0.0041,2.9959
2021-06-11,-473.7990,-472.9049,2.8683,-0.8941,1.9742
2021-06-12,71.0702,69.4064,3.0000,1.6638,4.6638
2021-06-13,584.5854,582.6398,3.0000,1.9456,4.9456
2021-06-14,284.6975,283.4525,2.3785,1.2451,3.6236
2021-06-15,-144.2593,-138.1879,3.0000,-6.0713,-3.0713
2021-06-16,-690.5730,-697.0053,3.0000,6.4323,9.4323
2021-06-17,22.7629,23.9560,3.0000,-1.1931,1.8069
2021-06-18,-586.4879,-593.5908,1.8971,7.1029,9.0000
2021-06-19,-310.7305,-306.1371,-0.8379,-4.5935,-5.4314
2021-06-20,364.0278,366.7443,-1.9034,-2.7166,-4.6200
2021-06-21,-1595.6532,-1595.9781,-1.0246,0.3249,-0.6997
2021-06-22,-32.9357,-33.4789,1.3675,0.5432,1.9107
2021-06-23,472.8407,468.7350,-1.1752,4.1056,2.9304
2021-06-24,108.6305,116.9076,1.5568,-8.2771,-6.7203
2021-06-25,-908.2593,-912.2895,2.7207,4.0302,6.7509
2021-06-26,115.1027,115.4867,-1.6521,-0.3841,-2.0362
2021-06-27,834.2625,830.8364,-4.7090,3.4261,-1.2829
2021-06-28,515.2148,518.6210,0.3331,-3.4062,-3.0731
2021-06-29,388.2154,391.5894,0.2734,-3.3740,-3.1006
2021-06-30,509.6221,507.3551,3.0000,2.2669,5.2669
