date,spot_return_bps,perp_return_bps,funding_pnl_bps,basis_pnl_bps,total_pnl_bps
2021-03-31,-1.0247,2.2247,21.0057,-3.2495,17.7562
2021-04-01,-3.4235,-2.2497,25.6456,-1.1738,24.4718
2021-04-02,39.0954,40.3698,27.9249,-1.2743,26.6506
2021-04-03,-321.9796,-321.3055,27.2423,-0.6741,26.5682
2021-04-04,201.5830,192.5207,12.7106,9.0623,21.7729
2021-04-05,159.4412,173.2269,12.0090,-13.7857,-1.7767
2021-04-06,-192.5994,-199.7522,23.8701,7.1529,31.0230
2021-04-07,-351.3812,-351.6725,16.5018,0.2913,16.7931
2021-04-08,379.6138,375.6066,9.1952,4.0071,13.2023
2021-04-09,11.1954,9.2512,6.7697,1.9442,8.7139
2021-04-10,279.7590,284.7221,28.1235,-4.9631,23.1604
2021-04-11,39.0335,43.0820,29.2160,-4.0485,25.1675
2021-04-12,-23.7374,-29.7919,29.4494,6.0545,35.5039
2021-04-13,620.6148,624.0121,29.6670,-3.3973,26.2697
2021-04-14,-96.8101,-99.0751,30.3861,2.2650,32.6511
2021-04-15,31.8379,33.8707,26.8741,-2.0328,24.8413
2021-04-16,-288.9773,-285.9097,34.5188,-3.0676,31.4512
2021-04-17,-216.5394,-217.2629,19.6485,0.7235,20.3720
2021-04-18,-642.7037,-657.3608,15.0072,14.6571,29.6643
2021-04-19,-92.0516,-90.0712,3.0000,-1.9805,1.0195
2021-04-20,142.3360,139.5126,3.0000,2.8234,5.8234
2021-04-21,-467.4116,-462.7786,3.0000,-4.6330,-1.6330
2021-04-22,-389.8052,-387.6190,3.0000,-2.1863,0.8137
2021-04-23,-109.4621,-114.4725,6.7618,5.0104,11.7722
2021-04-24,-210.7182,-201.5194,5.4432,-9.1988,-3.7556
2021-04-25,-196.0264,-205.3126,7.0258,9.2861,16.3119
2021-04-26,1005.6949,1002.8526,3.0000,2.8423,5.8423
2021-04-27,187.1396,189.2994,3.0000,-2.1597,0.8403
2021-04-28,-30.1298,-26.2661,3.0000,-3.8637,-0.8637
2021-04-29,-235.4255,-237.5005,3.0000,2.0750,5.0750
2021-04-30,772.9008,770.2488,3.0000,2.6520,5.6520
2021-05-01,18.3900,26.3816,5.3705,-7.9916,-2.6211
2021-05-02,-211.4450,-208.5211,10.6387,-2.9239,7.7148
2021-05-03,104.4890,103.2132,14.3808,1.2757,15.6565
2021-05-04,-694.3191,-690.6444,12.9571,-3.6747,9.2824
2021-05-05,796.2592,795.0030,9.8893,1.2562,11.1455
2021-05-06,-181.4938,-184.7759,22.9609,3.2820,26.2429
2021-05-07,163.3286,162.2263,11.5102,1.1023,12.6125
2021-05-08,269.9654,274.4683,15.2075,-4.5029,10.7046
2021-05-09,-105.5366,-107.3314,15.6651,1.7948,17.4599
2021-05-10,-416.3230,-415.6382,22.2442,-0.6848,21.5594
2021-05-11,152.9808,150.4859,11.6056,2.4949,14.1005
2021-05-12,-1242.0500,-1254.5611,9.0156,12.5111,21.5267
2021-05-13,7.9889,22.6108,4.4501,-14.6219,-10.1718
2021-05-14,34.3219,33.2684,9.0328,1.0535,10.0863
2021-05-15,-617.6506,-617.5372,4.0276,-0.1134,3.9142
2021-05-16,-70.8873,-77.8165,9.3126,6.9293,16.2419
2021-05-17,-623.1675,-616.6583,13.3283,-6.5092,6.8191
2021-05-18,-158.0824,-156.9222,9.1175,-1.1603,7.9572
2021-05-19,-1437.5080,-1444.2688,-4.3884,6.7608,2.3724
2021-05-20,1045.6638,1038.7706,3.0000,6.8932,9.8932
2021-05-21,-808.0191,-812.1619,1.6545,4.1428,5.7973
2021-05-22,53.0763,59.5415,-0.4448,-6.4652,-6.9100
2021-05-23,-746.1950,-742.9304,-0.1374,-3.2646,-3.4020
2021-05-24,1194.9243,1191.3043,-1.6350,3.6200,1.9850
2021-05-25,-121.5503,-116.7674,3.0000,-4.7829,-1.7829
2021-05-26,239.3207,234.1336,3.0000,5.1872,8.1872
2021-05-27,-181.4208,-177.6505,3.0000,-3.7703,-0.7703
2021-05-28,-743.9635,-741.3922,3.0000,-2.5713,0.4287
2021-05-29,-296.7573,-296.8939,3.0375,0.1366,3.1741
2021-05-30,299.4121,300.4368,3.0000,-1.0247,1.9753
2021-05-31,452.4362,446.4205,3.0000,6.0156,9.0156
