pair,direction,entry_time,exit_time,entry_price,initial_risk,exit_reason,n_levels_hit,fraction_via_tp,r_gross,cost_r,commission_r,r_net,leverage_ratio,risk_dollars,effective_risk_pct,leverage_capped,dollar_pnl,balance_after
GBP_JPY,UP,2024-08-09 08:30:00+09:00,2024-08-09 09:05:00+09:00,188.283,0.261114,SL_INITIAL_NO_TP,0,0.0,-1.0,0.111062,0.028843,-1.139905,721.074668,22.783132,0.01,False,-25.970615,2252.342587
AUD_JPY,UP,2024-08-16 00:40:00+09:00,2024-08-16 02:50:00+09:00,98.749,0.108996,SL_INITIAL_NO_TP,0,0.0,-1.0,0.247715,0.036239,-1.283954,905.985001,22.523426,0.01,False,-28.919049,2223.423538
GBP_JPY,UP,2024-08-16 00:45:00+09:00,2024-08-16 06:25:00+09:00,191.625,0.206037,SL_INITIAL_NO_TP,0,0.0,1.98591,0.140751,0.037202,1.807957,930.050109,22.523426,0.01,False,40.72138,2326.377937
USD_JPY,UP,2024-08-16 05:05:00+09:00,2024-08-16 05:55:00+09:00,149.091,0.077902,SL_INITIAL_NO_TP,0,0.0,3.145095,0.269569,0.076553,2.798973,1913.82763,22.234235,0.01,False,62.233019,2285.656557
USD_JPY,UP,2024-08-16 06:10:00+09:00,2024-08-16 07:00:00+09:00,149.403,0.087689,SL_INITIAL_NO_TP,0,0.0,-1.0,0.239481,0.068151,-1.307632,1703.772972,22.856566,0.01,False,-29.887983,2296.489954
AUD_JPY,UP,2024-08-16 14:10:00+09:00,2024-08-16 16:05:00+09:00,98.761,0.135015,SL_INITIAL_NO_TP,0,0.0,0.69771,0.199977,0.029259,0.468473,731.480139,22.9649,0.01,False,10.758443,2307.248397
GBP_JPY,UP,2024-08-22 21:05:00+09:00,2024-08-22 21:30:00+09:00,191.455,0.155167,SL_INITIAL_NO_TP,0,0.0,-1.0,0.186896,0.049355,-1.236251,1233.868135,23.072484,0.01,False,-28.523375,2278.725022
GBP_JPY,UP,2024-08-22 22:15:00+09:00,2024-08-22 22:50:00+09:00,191.425,0.260869,SL_INITIAL_NO_TP,0,0.0,0.669875,0.111167,0.029352,0.529357,733.797825,22.78725,0.01,False,12.062581,2290.787602
GBP_JPY,UP,2024-08-23 22:05:00+09:00,2024-08-23 22:55:00+09:00,191.55,0.159547,SL_INITIAL_NO_TP,0,0.0,2.085777,0.181765,0.048024,1.855989,1200.588273,22.907876,0.01,False,42.516755,2333.304357
USD_JPY,DOWN,2024-09-19 03:40:00+09:00,2024-09-19 03:45:00+09:00,140.945,0.284617,SL_INITIAL_NO_TP,0,0.0,-1.0,0.073783,0.019808,-1.093592,495.209227,23.333044,0.01,False,-25.516823,2307.787534
USD_JPY,UP,2024-09-20 19:15:00+09:00,2024-09-20 20:30:00+09:00,143.794,0.081835,SL_INITIAL_NO_TP,0,0.0,6.459369,0.256613,0.070285,6.132471,1757.116435,23.077875,0.01,False,141.524407,2449.31194
EUR_JPY,UP,2024-09-20 19:15:00+09:00,2024-09-20 20:30:00+09:00,160.447,0.091158,SL_INITIAL_NO_TP,0,0.0,6.758431,0.274249,0.070404,6.413778,1760.099231,23.077875,0.01,False,148.016363,2597.328303
GBP_JPY,UP,2024-09-20 19:15:00+09:00,2024-09-20 20:35:00+09:00,191.089,0.119097,SL_INITIAL_NO_TP,0,0.0,6.031771,0.243498,0.064179,5.724093,1604.478212,23.077875,0.01,False,132.099905,2729.428208
USD_JPY,UP,2024-09-20 23:10:00+09:00,2024-09-21 00:40:00+09:00,144.269,0.341467,SL_INITIAL_NO_TP,0,0.0,-1.0,0.061499,0.0169,-1.078399,422.497458,27.294282,0.01,False,-29.434133,2699.994075
EUR_JPY,DOWN,2024-09-23 16:45:00+09:00,2024-09-23 17:30:00+09:00,159.536,0.365805,SL_INITIAL_NO_TP,0,0.0,0.789292,0.068342,0.017445,0.703504,436.122901,26.999941,0.01,False,18.99458,2718.988654
EUR_JPY,DOWN,2024-09-23 17:55:00+09:00,2024-09-23 18:15:00+09:00,159.279,0.266174,SL_INITIAL_NO_TP,0,0.0,-1.0,0.093923,0.023936,-1.117859,598.400834,27.189887,0.01,False,-30.39447,2688.594184
